"obvgrphashkey","obvgrptimestamp","obvgrprecsrc","observationid","groupid"
"375030b876f43b7f11ccc02e35a1be73","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","c7e614c988000c7e22a6380fc0a36b2a","842d826e29e57f0d3c23fa98a8404a38"
"976732247efa2fa510ae0e16560e8346","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","f45f42ae0fc47a3647c4cb1f43187fb4","842d826e29e57f0d3c23fa98a8404a38"
"774dd68057e34220100ba7d5e2bf0457","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","0758d1715a108b43a4c1b9a5efa0485b","842d826e29e57f0d3c23fa98a8404a38"
"d128c492c320ac5685e2bed6dfbfa340","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","b823376ab07bd33b8b4665d2d3ba7f90","55276c10d84e1df7713b441e76e141f9"
"18f7102878fe3911ea5d74ac0ec197cb","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","7838e6ce684d1df19409ee40db73e2f7","55276c10d84e1df7713b441e76e141f9"
"7f56bb43bfd2f9f48e916c279e59048f","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","37066cea6f7d3b9450a3bfe51164e14a","55276c10d84e1df7713b441e76e141f9"
"89ee35da5f24a16fb93f5b4547e10d7a","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","40cf567d9dd4e066643e03775a72a5ab","7655a938884159455cfa5e5f2664d8a3"
"366b9fcaa1b35972d6a0ab368a7e275c","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","6fd4369eac5e8204791f311f4e394ecf","7655a938884159455cfa5e5f2664d8a3"
"67baddc2c5239091cab8886e419461ae","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","4ff169301acc181e8fe677175ae7b0fc","7655a938884159455cfa5e5f2664d8a3"
"d7e5a1b1bbaf390a436685ff5ac82d5b","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","46b60ae9d104bd2fd1b413250b3d7053","26fcfeaf1421817b3d7659b73bace377"
"5326aec7a468f44bd97f5ebbd87d664e","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","1c1b81675937d9b81e0b7a415285226e","26fcfeaf1421817b3d7659b73bace377"
"65eb1058c7c35549b5f225f5b6737423","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","559857559de44824451eaa7ec55a2cb8","26fcfeaf1421817b3d7659b73bace377"
"2b12cafc116bef557a9f93c1c1fde8aa","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","02af4c64c86309bafa15fea44e319b88","842d826e29e57f0d3c23fa98a8404a38"
"651846327cc5a3ac87380c4b6ff0fe34","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","e41b83ababf7266c9935b2b569037e9d","842d826e29e57f0d3c23fa98a8404a38"
"37677dd95661a5fd02ba435f7072ac16","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","516f2bc586dc1ff967edad4015684bfc","842d826e29e57f0d3c23fa98a8404a38"
"d6c951772e3a71f41152a6522a11bbf2","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","527ae713986df7efa9a98d1c7394fc73","55276c10d84e1df7713b441e76e141f9"
"bfa1410a79b8180650a308eb653a7c59","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","04deea41204c30591ee6d2488ae19b0c","55276c10d84e1df7713b441e76e141f9"
"69e85f1d58533333b8f01a9c40585b4d","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","6a2884aaf99448e6112e79d8a46028aa","55276c10d84e1df7713b441e76e141f9"
"6dd1f0a907da280a48c0c781a8e6a481","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","094e43a6716ac37578def5a0bef5a6e6","7655a938884159455cfa5e5f2664d8a3"
"f78d8d0e36455bbce12ab9d2a8c09db9","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","b0d14bfa121838df6284dc3d84fe6e00","7655a938884159455cfa5e5f2664d8a3"
"ca9c68282a4e690992d2917f2e601b35","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","d64e985de9d958dd0245ae16d5c9301e","7655a938884159455cfa5e5f2664d8a3"
"560c2c1773bd9c43abff98fbe11b92c8","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","362e836f333b4920f1a24fcb3545aa25","26fcfeaf1421817b3d7659b73bace377"
"3e6e89f24cdff8b2758043110f736919","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","ed14e888ea1cc4709e31880c5aa05d3d","26fcfeaf1421817b3d7659b73bace377"
"70985263c6d9ccf30ba74df4c974afd0","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","45346028b6a33c5475a8421ac5efe4ab","26fcfeaf1421817b3d7659b73bace377"
"bcfc1425c200af7a5ab6f5c185c65831","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","adcd038026fec4b2bf215e10b6b8e2a9","842d826e29e57f0d3c23fa98a8404a38"
"1f769d12de224a46f873678cce0af9da","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","09a38956423f54ac49aff347e00871d4","842d826e29e57f0d3c23fa98a8404a38"
"e3942b26d1a7eff8071edf1900073b57","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","9ebb7a3dd004cc69fece292bab1b6110","842d826e29e57f0d3c23fa98a8404a38"
"82bb9bfea0207093dab6d60588937e35","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","643ad6f9d575d1848161d28bb92f1480","55276c10d84e1df7713b441e76e141f9"
"db766e8cd258992d538942fa8604ba88","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","31ac78bfba9706eaed4c7dff906bd205","55276c10d84e1df7713b441e76e141f9"
"8245fe98dbec809edff02494e5ef8fb7","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","58baff8e8e891755065f6a53c4c46b4d","55276c10d84e1df7713b441e76e141f9"
"e90ba18deb7fbb5eef7812b479f7740b","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","e788720b0a17bc9558b51a0237874150","7655a938884159455cfa5e5f2664d8a3"
"396384eb31d2e5962cb4d4b21b4abb5a","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","5d1ac3c94e2763a7659105b73a035c42","7655a938884159455cfa5e5f2664d8a3"
"6ae192dde4d3ae7ec4618ba4efcea7c7","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","d8af9dfd1f181abb1ff77000a8735fc0","7655a938884159455cfa5e5f2664d8a3"
"303cd34230ad79451970a9cab5ba200c","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","4e4ab30a7c8aac56f8b922b789cb17e9","26fcfeaf1421817b3d7659b73bace377"
"f75658c2d1306cb166abf9eba4f7aba9","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","10e7475d42cb893e660ecb549f5d5981","26fcfeaf1421817b3d7659b73bace377"
"7da8c4c9baf3a40303e1027c6250917b","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","9eee2f6cdbc6fcee0b1f046f5a8a4552","26fcfeaf1421817b3d7659b73bace377"
"39606df9d44f333b3049d689b572cb8a","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","600cea8ee8766b31f1adad823ba5c6b1","842d826e29e57f0d3c23fa98a8404a38"
"00db81a785a4ce58eb7662753f7bbdb1","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","b4bac58e7292ffa620b6228f6dffb6a6","842d826e29e57f0d3c23fa98a8404a38"
"7d7d1e2d4f8ba624355f46738270ac29","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","fb369d4aa13bdff9754d0e8318f6dddf","842d826e29e57f0d3c23fa98a8404a38"
"1702bb230a19838b3e8a45ee38b59e39","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","671be722319acac03e2701bebeca8d72","55276c10d84e1df7713b441e76e141f9"
"ffeacdfa236f9679f2f0df4f18730256","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","58eaf113bcd3331c3c51cfa525620842","55276c10d84e1df7713b441e76e141f9"
"902da5e043fe6f7a24643792f2a7c87e","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","f879ca6ce05821ba0b4a8f249ca9c83f","55276c10d84e1df7713b441e76e141f9"
"c3c8f7ba1bdaf8c84c71337601fbf61a","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","215b3c99427c83e5542db0aea07d491e","7655a938884159455cfa5e5f2664d8a3"
"09c9792f2321bb2df1208ac3e7019c4d","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","8379865138e73290a4f90ec48cd18abf","7655a938884159455cfa5e5f2664d8a3"
"08c9a54c493a99c5d49c4e3a0d9b95f4","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","9b77f72fd275e149c27480d5949867ea","7655a938884159455cfa5e5f2664d8a3"
"9859f2aa071b5182732a0ce072b372f5","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","edb207a6417ba5f8777f73d3bb6aed04","26fcfeaf1421817b3d7659b73bace377"
"2b17d1d8264a7cc8343b994f3dd39bb8","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","cba9399912cb8c0537688756dff030da","26fcfeaf1421817b3d7659b73bace377"
"2ce6784338fe456a46dbc9c8ecc077e1","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","c73b8801a13f9489e167d09435860b4e","26fcfeaf1421817b3d7659b73bace377"
"5962c197bc61fd0376d45a0707476ab2","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","76e530aafa09f8bd9b418073f58692a5","842d826e29e57f0d3c23fa98a8404a38"
"84e0a094d46ca0aff757c5604b05c10c","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","93d6d31ebcbf57dc4c8755896074678e","842d826e29e57f0d3c23fa98a8404a38"
"ed9adebf45c72bc069e97766d9af9e30","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","e4b20ccd62dc6e8425da9dda54fdfefc","842d826e29e57f0d3c23fa98a8404a38"
"71ae6308c46704fb167862e3b8c2160a","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","a36ea04f84eb6ef5d0e8f8438f6710c5","55276c10d84e1df7713b441e76e141f9"
"23a9e228e84b887c10aff8cb7f04a314","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","e880b34864770a3eb7b86888fc419a7b","55276c10d84e1df7713b441e76e141f9"
"b8ae54fb6d54f6bf840780503f7e8090","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","e2008d9614f13800a8eee38dcd7526ef","55276c10d84e1df7713b441e76e141f9"
"6c2547c50f93ae409906889348e29fa0","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","91e6eb689e6d74764c3e6191f73ee732","7655a938884159455cfa5e5f2664d8a3"
"bac8d57658b1fd6f99ced79c28fa4ddc","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","2e4da8399e2cf97fc177916a5b8be2b4","7655a938884159455cfa5e5f2664d8a3"
"a96654eea284f74e136246abb4440136","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","cfd670aad1e41fba51b54e6739ea9fe2","7655a938884159455cfa5e5f2664d8a3"
"3c2b2f792f02b22e5ae0cb43774e448f","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","0c9172ac5ed5f02e7842df3f1f9fd86f","26fcfeaf1421817b3d7659b73bace377"
"d9e57b6a64ef2b1b7401b0c64ba14f01","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","dad8e5ce45583bd9159be39df55b00bb","26fcfeaf1421817b3d7659b73bace377"
"035093ea4ed48821fd3d5e8e15ec1be2","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","dcb27fc614353945637d7bcbf206073d","26fcfeaf1421817b3d7659b73bace377"
"41276dd140f08e5c1f3ae8c26441a967","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","64c03cee55960e46d9311f7ee078cfa3","842d826e29e57f0d3c23fa98a8404a38"
"a6afe717b35ecff7b3cc2f9db6a96516","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","b2f87febcaba6090390071c8f4f08855","842d826e29e57f0d3c23fa98a8404a38"
"fe6f4f6ac47b8ad3b93081697681665b","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","8a59cf255cf76e7ba9da26608ee2f53b","842d826e29e57f0d3c23fa98a8404a38"
"2fa27fb99d860c365edfa65165255118","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","585af0ca7ebc498f55956d6a917eb176","55276c10d84e1df7713b441e76e141f9"
"361e807016589f0494729bd64371cdfd","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","45ea4ca4d96fe6a160441ac76dda18ea","55276c10d84e1df7713b441e76e141f9"
"d3ba86c7542dc9bdf3cff6d46b7b5f14","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","22367c58016e6a33b28f68501b4d9ca0","55276c10d84e1df7713b441e76e141f9"
"961a9c07ef15b7d7f5ce2bb2c96e7030","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","d11c1024064f64dfb1cca3f9084ed0d6","7655a938884159455cfa5e5f2664d8a3"
"de2caca4ca78527994b79dc1ba17d030","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","018e2a169f686cba4ee1479e2aac89f4","7655a938884159455cfa5e5f2664d8a3"
"87d3dcac4c9cdb620595d95e97c94c76","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","6e76dce0dbfbd9f5dc595d1ffac7d48a","7655a938884159455cfa5e5f2664d8a3"
"2abfbb60cfbf514da5ad7a382c7c5955","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","67f8f0ed78e5024e2390783b4ce29140","26fcfeaf1421817b3d7659b73bace377"
"e3b0e9e69dcea17c99ec7dfb942202b9","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","327a7a376983820a202e81c8f599645f","26fcfeaf1421817b3d7659b73bace377"
"12cf56e28681c17a4e203eb471ba6d97","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","8ecaa6808ac3a900dbc4a1c965be5b62","26fcfeaf1421817b3d7659b73bace377"
"341899b9cda0dfd5fa6511d35b18c8c1","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","334ffb6072a70b41684b8eeb1367587f","26fcfeaf1421817b3d7659b73bace377"
"83a14be5e5083a6e79f6a5df1faddc85","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","de385c5a6bfea59919f2fb4b252efdfc","26fcfeaf1421817b3d7659b73bace377"
"5fde76ba7a9141749d779c8ef810c4f1","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","dd2522375a753be5b4ea5890541a9882","26fcfeaf1421817b3d7659b73bace377"
"9809d4b38f94aa7df5497df6b7745b41","30/11/2022 19:36:32.127085","9dbe3ce34c8750df0a9d8ce0aeab5da3","55c0ff12542a3109b9d9eea9566a7564","960b44c579bc2f6818d2daaf9e4c16f0"
"0d846f0960c3ea45bad4b32982b75a68","30/11/2022 19:36:32.127085","9dbe3ce34c8750df0a9d8ce0aeab5da3","9dc0cd975c151a0be52e05bf144b5fb5","960b44c579bc2f6818d2daaf9e4c16f0"
"20da873175231f2e2d9b0d5d302c621a","30/11/2022 19:36:32.127085","9dbe3ce34c8750df0a9d8ce0aeab5da3","823a633f2425b3b6cf12f0cc865b619e","960b44c579bc2f6818d2daaf9e4c16f0"
"311b71a8936768425006346d55796fa1","30/11/2022 19:36:32.127085","9dbe3ce34c8750df0a9d8ce0aeab5da3","163bfbe9f33d20496c89395fabb4366a","1cbd491d919c9b23f146251007a0d7d1"
"24803213926b8ae0a58cd2b3e0c198fa","30/11/2022 19:36:32.127085","9dbe3ce34c8750df0a9d8ce0aeab5da3","9a2949f6e62291581fd3f6071ab7e207","1cbd491d919c9b23f146251007a0d7d1"
"49998404498d42451d6982ce6f91a7f3","30/11/2022 19:36:32.127085","9dbe3ce34c8750df0a9d8ce0aeab5da3","8313a9fdadf3f43280e33dda02e59f9f","1cbd491d919c9b23f146251007a0d7d1"
"3704e6df27d083f4c50d057e36942584","30/11/2022 19:36:32.127085","9dbe3ce34c8750df0a9d8ce0aeab5da3","bf552b7fd1c684a92c74b176baf3a4f8","960b44c579bc2f6818d2daaf9e4c16f0"
"947cbae4f59c1c6d038bcef567647753","30/11/2022 19:36:32.127085","9dbe3ce34c8750df0a9d8ce0aeab5da3","98f6cec499610a842b235a0195804d58","960b44c579bc2f6818d2daaf9e4c16f0"
"4e64e69e2cc65f73dbe60246c637f2a1","30/11/2022 19:36:32.127085","9dbe3ce34c8750df0a9d8ce0aeab5da3","e089477bbcbad42e68dfa50e67a2239a","960b44c579bc2f6818d2daaf9e4c16f0"
"9b2e4dc70927b880d34bc9ec20403b4f","30/11/2022 19:36:32.127085","9dbe3ce34c8750df0a9d8ce0aeab5da3","9b4fc3446b7b5e901ae2c5920cb4ce8b","1cbd491d919c9b23f146251007a0d7d1"
"02619b02eee4b334b2c0509dfde05c48","30/11/2022 19:36:32.127085","9dbe3ce34c8750df0a9d8ce0aeab5da3","e2ec02dabdef2da229fe2f2b4211bd6c","1cbd491d919c9b23f146251007a0d7d1"
"0a0d9dafdd9cdb5d7382dcc9fcfec8ff","30/11/2022 19:36:32.127085","9dbe3ce34c8750df0a9d8ce0aeab5da3","e598364c8461a99d9341c9f9cb85f2a6","1cbd491d919c9b23f146251007a0d7d1"
"eee9448a686a3546091b02382d8d6ed2","30/11/2022 19:36:32.127085","9dbe3ce34c8750df0a9d8ce0aeab5da3","32126cca1e6604770b5830ed9f57b411","960b44c579bc2f6818d2daaf9e4c16f0"
"69154886a752893799c5cfe890f7a53e","30/11/2022 19:36:32.127085","9dbe3ce34c8750df0a9d8ce0aeab5da3","66467ae7c1300b4556dd138c0941f32c","960b44c579bc2f6818d2daaf9e4c16f0"
"0b65a6a4ec5f04a84566755a8eb1fabc","30/11/2022 19:36:32.127085","9dbe3ce34c8750df0a9d8ce0aeab5da3","7e4a88c0ba0fc85dde1592e00bb06300","960b44c579bc2f6818d2daaf9e4c16f0"
"9478bb40063e4a55e6413cca18d585c0","30/11/2022 19:36:32.127085","9dbe3ce34c8750df0a9d8ce0aeab5da3","f19a61c9fdd82251566bfdaa9cd0238a","1cbd491d919c9b23f146251007a0d7d1"
"4852aa582e66ede1d93801cbf9d429d7","30/11/2022 19:36:32.127085","9dbe3ce34c8750df0a9d8ce0aeab5da3","f48eede6f99226dd16aaeda1661adf42","1cbd491d919c9b23f146251007a0d7d1"
"0cf5b4e29d789d2462b7abe7aab6c322","30/11/2022 19:36:32.127085","9dbe3ce34c8750df0a9d8ce0aeab5da3","af912f5875bbe0101003fd2494965aed","1cbd491d919c9b23f146251007a0d7d1"
"40c2e302bcdee3f1fb00f2beffc06672","30/11/2022 19:36:32.127085","9dbe3ce34c8750df0a9d8ce0aeab5da3","2c16c97a12fd891e76c64d28bc6be183","960b44c579bc2f6818d2daaf9e4c16f0"
"2d4edd630c8a0d146ab0c0f3bb28a66f","30/11/2022 19:36:32.127085","9dbe3ce34c8750df0a9d8ce0aeab5da3","8fc32965e863845cd977f160a718f87a","960b44c579bc2f6818d2daaf9e4c16f0"
"77bcccb117517e7361fac3889ce8a889","30/11/2022 19:36:32.127085","9dbe3ce34c8750df0a9d8ce0aeab5da3","c00cc774a16bb00be28c97251893fda7","960b44c579bc2f6818d2daaf9e4c16f0"
"831f770ab2ad6ede30b0da693194e36a","30/11/2022 19:36:32.127085","9dbe3ce34c8750df0a9d8ce0aeab5da3","292d2b5a272c541e404a6bcfd84641d3","1cbd491d919c9b23f146251007a0d7d1"
"f8739309bb86c65fe0278109635e21ad","30/11/2022 19:36:32.127085","9dbe3ce34c8750df0a9d8ce0aeab5da3","a902a1b25f7daf24239b48f9a99f4579","1cbd491d919c9b23f146251007a0d7d1"
"8b607cfd6ea646f9a718c5e18844ab6e","30/11/2022 19:36:32.127085","9dbe3ce34c8750df0a9d8ce0aeab5da3","14db5053789a0ab6e6cb1ad01c436b36","1cbd491d919c9b23f146251007a0d7d1"
"55b7baf22a5f8cb0e51f30032cbaadfb","30/11/2022 19:36:32.127085","9dbe3ce34c8750df0a9d8ce0aeab5da3","2759546117724e71fc2b6fe91b4981f5","960b44c579bc2f6818d2daaf9e4c16f0"
"aba15171104b9e16b0f713ba20da7417","30/11/2022 19:36:32.127085","9dbe3ce34c8750df0a9d8ce0aeab5da3","031bc635a431df1a4143fa0bacc3cde6","960b44c579bc2f6818d2daaf9e4c16f0"
"4b0dec4756052d5696b1a654951894d7","30/11/2022 19:36:32.127085","9dbe3ce34c8750df0a9d8ce0aeab5da3","f6f2ca1225cf92aa3381c80992a9ff35","960b44c579bc2f6818d2daaf9e4c16f0"
"dd59ec60a271d86a5030a5201c3d4d28","30/11/2022 19:36:32.127085","9dbe3ce34c8750df0a9d8ce0aeab5da3","961c8d4e7345f7d291b6f479f75ec572","1cbd491d919c9b23f146251007a0d7d1"
"c9e7c2925b0117ef1a44916c449e7155","30/11/2022 19:36:32.127085","9dbe3ce34c8750df0a9d8ce0aeab5da3","1cd807f27edf395a811b1a077cb0a5d4","1cbd491d919c9b23f146251007a0d7d1"
"2b5480775a2e5ae82d15949aa4cb3db2","30/11/2022 19:36:32.127085","9dbe3ce34c8750df0a9d8ce0aeab5da3","9489dfc1f44038e813a74e54f8e6f1dc","1cbd491d919c9b23f146251007a0d7d1"
"712f168a9f828f46162c53f4301382bb","30/11/2022 19:36:32.127085","9dbe3ce34c8750df0a9d8ce0aeab5da3","7dae9d566cee2dadf57c07538893e1cb","960b44c579bc2f6818d2daaf9e4c16f0"
"2771554b5d0006e63114ada564014052","30/11/2022 19:36:32.127085","9dbe3ce34c8750df0a9d8ce0aeab5da3","a9bd16a1d521ef0619ae9f24593b418d","960b44c579bc2f6818d2daaf9e4c16f0"
"35d10fb83e62057e15f5bf8ce8d4fad7","30/11/2022 19:36:32.127085","9dbe3ce34c8750df0a9d8ce0aeab5da3","1a5b07c7001cabff50e3485f05d64d2f","960b44c579bc2f6818d2daaf9e4c16f0"
"75191a545bdb07252f7825557a3632b0","30/11/2022 19:36:32.127085","9dbe3ce34c8750df0a9d8ce0aeab5da3","9deafcf01c36f64c7d8bcdd2914db346","1cbd491d919c9b23f146251007a0d7d1"
"fc072d649c0c62cb213eded1bb4e3bb9","30/11/2022 19:36:32.127085","9dbe3ce34c8750df0a9d8ce0aeab5da3","4b4e14e4c02f1c0cb86218a0c21f6131","1cbd491d919c9b23f146251007a0d7d1"
"ce45003104e5bc05cc41908ffe5bc4c6","30/11/2022 19:36:32.127085","9dbe3ce34c8750df0a9d8ce0aeab5da3","7cae3ffdd31023de6bebcad3c1ae1b31","1cbd491d919c9b23f146251007a0d7d1"
"c30832a35c56b500e862d6edbd6b7963","30/11/2022 19:36:32.127085","9dbe3ce34c8750df0a9d8ce0aeab5da3","d19d8009d57653674833b6fb47e30199","960b44c579bc2f6818d2daaf9e4c16f0"
"39b5bba7eb07897b76b33716cd358124","30/11/2022 19:36:32.127085","9dbe3ce34c8750df0a9d8ce0aeab5da3","6f5cee87a313d33acd4847b11b398a36","960b44c579bc2f6818d2daaf9e4c16f0"
"74014ef7b397c0c4e3bc1a6a4f39359c","30/11/2022 19:36:32.127085","9dbe3ce34c8750df0a9d8ce0aeab5da3","4d2583e6aca989e3819081d33e32ab03","960b44c579bc2f6818d2daaf9e4c16f0"
"020ef8273737797613aa9d4d33d73ad2","30/11/2022 19:36:32.127085","9dbe3ce34c8750df0a9d8ce0aeab5da3","72480a8241c7bb76f79d4a47c09f0608","1cbd491d919c9b23f146251007a0d7d1"
"562ddad29afc2179c973ab3f0fa3ac67","30/11/2022 19:36:32.127085","9dbe3ce34c8750df0a9d8ce0aeab5da3","f37162c63f1770cdc478ed694a83034c","1cbd491d919c9b23f146251007a0d7d1"
"2e89a626929f9cc32ad263f194ba5277","30/11/2022 19:36:32.127085","9dbe3ce34c8750df0a9d8ce0aeab5da3","41a274b6ce3bff7dd7515232f645a6f2","1cbd491d919c9b23f146251007a0d7d1"
"ec8154142dcce22faed73567dccaf619","30/11/2022 19:36:32.127085","9dbe3ce34c8750df0a9d8ce0aeab5da3","e49957edb042f3ae58900939bd90a97f","960b44c579bc2f6818d2daaf9e4c16f0"
"3740921a7ce344fa19702b8706853258","30/11/2022 19:36:32.127085","9dbe3ce34c8750df0a9d8ce0aeab5da3","e68d1d52bf5b6408232ed7a20ca2eb1f","960b44c579bc2f6818d2daaf9e4c16f0"
"75c3b57097d0389614988cf0d5148fb8","30/11/2022 19:36:32.127085","9dbe3ce34c8750df0a9d8ce0aeab5da3","a63dc1c9b174cc7476aaf10fde84a245","960b44c579bc2f6818d2daaf9e4c16f0"
"45ad41065f708ebae596431dddce0294","30/11/2022 19:36:32.127085","9dbe3ce34c8750df0a9d8ce0aeab5da3","72176fc47f684b2376cc9c6a917de477","1cbd491d919c9b23f146251007a0d7d1"
"ef9d5300d42f0a3fef20b4ae3e18cf70","30/11/2022 19:36:32.127085","9dbe3ce34c8750df0a9d8ce0aeab5da3","48253c0714e4a1c57e8ce000e6f065a7","1cbd491d919c9b23f146251007a0d7d1"
"3f785717adfb3e4ef32a8124215ba009","30/11/2022 19:36:32.127085","9dbe3ce34c8750df0a9d8ce0aeab5da3","9fa2547087bb387002eef4724809b868","1cbd491d919c9b23f146251007a0d7d1"
"01d5a6fd1a0a5358f620aa1e50094f7a","30/11/2022 19:36:32.127085","9dbe3ce34c8750df0a9d8ce0aeab5da3","87ebf1689de46b94e9299ad719a8dd46","960b44c579bc2f6818d2daaf9e4c16f0"
"2e6cbeacbe10fac9d38b6be6d4b5566c","30/11/2022 19:36:32.127085","9dbe3ce34c8750df0a9d8ce0aeab5da3","60267cf46be305c4fb4ccc7387156711","960b44c579bc2f6818d2daaf9e4c16f0"
"6331eebacf2d0ebc2cce539e22b46afe","30/11/2022 19:36:32.127085","9dbe3ce34c8750df0a9d8ce0aeab5da3","a1256fb4e4a26b056096bfd2ae8b0ec2","960b44c579bc2f6818d2daaf9e4c16f0"
"b6905dd4d948f929d6a0070e303c071f","30/11/2022 19:36:32.127085","9dbe3ce34c8750df0a9d8ce0aeab5da3","56183cc23e38cce29694491093437504","1cbd491d919c9b23f146251007a0d7d1"
