"unitidhashkey","unitidtimestamp","unitidrecsrc","id"
"4c6b326bc22992e21b9e730af230c9e0","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","VM0001"
"721e40335da93c2bb08d70875d1bbf2f","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","VM0002"
"b13dc8f447f057c6a06ac047e8f2416b","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","VM0003"
"eee6e2bc947c4d9bdb9a8d8d2f8ce785","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","VM0004"
"4fd88e2d2ee59c5a4bd13205d631cd6e","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","VM0005"
"8bfbe5d6024abbef0e13d388ab03324f","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","VM0006"
"8ae28ee417e6864df55ac738715323fa","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","VM0010"
"00cffa8a9375b044cb4e56fb5d260ca0","30/11/2022 19:36:32.127085","9dbe3ce34c8750df0a9d8ce0aeab5da3","Sbj:Autism0001"
"0e2ee402e68d3d8c35410eceac085231","30/11/2022 19:36:32.127085","9dbe3ce34c8750df0a9d8ce0aeab5da3","Sbj:Autism0002"
"d642e562f9265713f3630cf00f1d9fca","30/11/2022 19:36:32.127085","9dbe3ce34c8750df0a9d8ce0aeab5da3","Sbj:Autism0003"
"629d865b8c4cd61d73bed7bdacb7f1bd","30/11/2022 19:36:32.127085","9dbe3ce34c8750df0a9d8ce0aeab5da3","Sbj:Autism0004"
"040057b2fb0e7fdb3b5984511ec78a7f","30/11/2022 19:36:32.127085","9dbe3ce34c8750df0a9d8ce0aeab5da3","Sbj:Autism0005"
"07cf9830f481b1b4a2991842493fc5eb","30/11/2022 19:36:32.127085","9dbe3ce34c8750df0a9d8ce0aeab5da3","Sbj:Autism0006"
"709b2f9123e11d8e1126bcd9f4229fcd","30/11/2022 19:36:32.127085","9dbe3ce34c8750df0a9d8ce0aeab5da3","Sbj:Autism0007"
"0c6f6f6a5d044e35e523c89049b32f28","30/11/2022 19:36:32.127085","9dbe3ce34c8750df0a9d8ce0aeab5da3","Sbj:Autism0008"
"a025b68602d53578c8bb5e748380bd93","30/11/2022 19:36:32.127085","9dbe3ce34c8750df0a9d8ce0aeab5da3","Sbj:Autism0009"
"ec665589b48bf1c7bd2be48b34605ec6","30/11/2022 19:36:32.127085","9dbe3ce34c8750df0a9d8ce0aeab5da3","Sbj:Autism0010"
